zaman,cpu_kullanimi,bellek_kullanimi,disk_kullanimi
1740474893.7698903,14.3,55.6,27.6
1740474913.771148,25.6,57.9,27.6
1740474933.7802606,15.3,55.3,27.6
1740474953.7866664,15.1,54.2,27.6
1740474973.7933319,15.6,54.3,27.6
1740474993.7967143,13.5,55.8,27.6
1740475013.7980075,16.8,56.0,27.6
1740475033.8118582,15.1,55.8,27.6
1740475053.8151298,16.6,55.7,27.6
1740475073.8216066,15.9,55.7,27.6
1740475093.8274117,13.4,55.3,27.6
1740475113.8317647,14.6,55.3,27.6
1740475133.8355513,15.4,55.4,27.6
1740475153.8438003,14.9,55.3,27.6
1740475173.8495317,14.3,55.1,27.6
1740475193.8504467,15.4,55.5,27.6
1740475213.8590598,14.8,55.3,27.6
1740475233.8642547,13.8,55.2,27.6
1740475253.8690875,12.2,55.2,27.6
1740475273.8720722,13.3,55.6,27.6
1740475293.8741763,14.5,54.2,27.6
1740475313.8787663,15.3,54.2,27.6
1740475333.8882153,13.8,54.0,27.6
1740475353.8923118,14.8,53.9,27.6
1740475373.893254,15.4,54.0,27.6
1740475393.897851,13.8,53.1,27.6
1740475413.9067917,15.7,53.2,27.6
1740475433.911968,14.9,53.5,27.6
1740475453.916058,14.8,53.4,27.6
1740475473.9210417,12.9,53.8,27.6
1740475493.925784,13.4,56.1,27.6
1740475513.9325979,14.6,55.7,27.6
1740475533.938411,14.4,56.8,27.6
1740475553.942973,11.7,56.5,27.6
1740475573.945218,13.2,56.2,27.6
1740475593.9522274,10.7,57.0,27.6
1740475613.957295,12.6,56.7,27.6
1740475633.9626045,11.8,56.8,27.6
1740475653.9677465,11.1,57.1,27.6
1740475673.9728434,12.7,57.5,27.6
1740475693.9856262,10.8,59.9,27.6
1740475713.9900947,11.5,59.2,27.6
1740475734.0100079,10.6,58.2,27.6
1740475754.0143905,11.6,57.5,27.6
1740475774.01909,11.3,57.5,27.6
1740475794.0236237,13.5,56.9,27.6
1740475814.0278032,11.2,56.9,27.6
1740475834.032853,12.5,57.3,27.6
1740475854.037664,12.3,52.3,27.6
1740475874.0386083,10.3,52.5,27.6
1740475894.0492058,12.9,53.1,27.6
1740475914.055233,14.6,55.7,27.6
1740475934.0592227,10.8,58.5,27.6
1740475954.066293,11.9,61.9,27.6
1740475974.0719607,11.0,61.3,27.6
1740475994.0776448,13.5,60.9,27.6
1740476014.0849068,15.1,60.6,27.6
